comparison_group,instance,method_or_variant,seed,seed_archive_signature_count,seed_exclusive_signature_count,seed_rediscovered_signature_count,seed_rediscovered_signature_ratio,definition
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,116,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,117,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,118,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,119,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,120,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,121,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,122,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,123,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,124,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,125,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
phase11,Gyorgy-KOVACS_WH_Narrow_AW_4,bs_only_direct,126,10,0,10,1.0,order-invariant within method and instance across seeds 101-130
