phase,method_or_variant,method_label,instance,instance_label,seed,index,hypervolume,carried_forward
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,2,0.9114283196239721,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,3,0.9114283196239721,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,4,0.9114283196239721,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,5,0.9114283196239721,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,6,0.9114283196239721,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,7,0.9114283196239721,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,8,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,9,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,10,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,11,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,12,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,13,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,107,14,1.0104574030552296,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,0,1.0385763807285548,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,1,1.0385763807285548,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,2,1.1531650998824916,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,3,1.1531650998824916,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,4,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,5,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,6,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,7,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,8,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,9,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,10,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,11,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,12,1.2514159811985903,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,13,1.2550496474735608,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,108,14,1.2550496474735608,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,0,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,1,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,2,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,3,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,4,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,5,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,6,0.9663362710536625,False
phase11,proposed_nsga2_bs,Prop. (Reference),AT_S_comercial_layout_AW_3,Atefeh,109,7,0.9663362710536625,False
